Cikk neve,Vonalkód,Cikkszám,Rövid név,Vtsz/Szj,Egység,ÁFA,Nettó Alapár(Ft),Bruttó Alapár(Ft),Nettó Alapár(EUR),Bruttó Alapár(EUR),Csoport
Perma Star LC S60 SO69,,104202,,27101999,db,27%,"5 850,00","7 429,50","18,00","22,86",
Perma Star LC S60 SO70,,104204,,27101999,db,27%,"6 150,00","7 810,50","18,92","24,03",
Perma Star LC L250 SF01,,104473,,27101999,db,27%,"6 900,00","8 763,00","23,76","30,18",
Perma Star LC L250 SF02,,104480,,27101999,db,27%,"7 750,00","9 842,50","26,73","33,95",
Perma Star LC L250 SF03,,104485,,27101999,db,27%,"16 500,00","20 955,00","51,00","64,77",
Perma Star LC L250 SF04,,104488,,27101999,db,27%,"8 050,00","10 223,50","27,86","35,38",
Perma Star LC L250 SF05,,104492,,27101999,db,27%,"8 150,00","10 350,50","28,10","35,69",
Perma Star LC L250 SF06,,104497,,27101999,db,27%,"7 400,00","9 398,00","25,73","32,68",
Perma Star LC L250 SF08,,104500,,27101999,db,27%,"13 800,00","17 526,00","47,63","60,49",
Perma Star LC L250 SF09,,104502,,27101999,db,27%,"9 300,00","11 811,00","32,10","40,77",
Perma Star LC L250 SF10,,104506,,27101999,db,27%,"9 150,00","11 620,50","31,61","40,14",
Perma Star LC L250 SO14,,104685,,27101999,db,27%,"8 500,00","10 795,00","29,41","37,35",
Perma Star LC L250 SO32,,104696,,27101999,db,27%,"7 300,00","9 271,00","25,25","32,07",
Perma Star LC L250 SO64,,104711,,27101999,db,27%,"9 750,00","12 382,50","33,64","42,72",
Perma Star LC L250 SO69,,104716,,27101999,db,27%,"9 050,00","11 493,50","31,21","39,64",
Perma Star LC L250 SO70,,104719,,27101999,db,27%,"9 700,00","12 319,00","33,46","42,49",
Közcsavar G1/4,,104820,,730792,db,27%,"650,00","825,50","1,96","2,49",
"Könyők 45-G1/4""",,104823,,730792,db,27%,"1 250,00","1 587,50","0,00","0,00",
